date,value_date,narration,ref_no,withdrawal,deposit,balance
2026-09-02,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR88909260001,UTR88909260001,,5081.95,
2026-09-02,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR88909260002,UTR88909260002,,2765.17,
2026-09-03,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR88909260003,UTR88909260003,,9387.40,
2026-09-04,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR88909260004,UTR88909260004,,6327.52,
2026-09-05,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR88909260005,UTR88909260005,,15196.01,
2026-09-05,,BANK CHARGES AND GST FOR Q3 FY28,CHG-SEP-FY2801,590.00,,
2026-09-06,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR88909260006,UTR88909260006,,3268.79,
2026-09-08,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR88909260007,UTR88909260007,,11414.64,
2026-09-09,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR88909260008,UTR88909260008,,8609.91,
2026-09-10,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR88909260009,UTR88909260009,,1982.96,
2026-09-11,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR88909260010,UTR88909260010,,7174.51,
2026-09-12,,IMPS-CR RAZORPAY SETTLEMENT UTR889092600F1X CUST REF,UTR889092600F1X,,5779.47,
2026-09-12,,IMPS-CR RAZORPAY SETTLEMENT UTR889092600F2X CUST REF,UTR889092600F2X,,12057.17,
2026-09-12,,NEFT TRANSACTION LEVY AND GST SEP-2026,CHG-SEP-FY2802,1180.00,,
2026-09-15,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR889092600E1,UTR889092600E1,,4583.72,
2026-09-16,,NEFT-CR RAZORPAY SOFTWARE PVT LTD UTR889092600E2,UTR889092600E2,,9900.32,
2026-09-19,,SMS AND MAINTENANCE CHARGES SEPTEMBER-2026,CHG-SEP-FY2803,240.00,,
2026-09-22,,NEFT-DR RAZORPAY REFUND UTR889092600R3,UTR889092600R3,1800.00,,
2026-09-24,,NEFT-CR RAZORPAY SOFTWARE PVT LTD AGGREGATED PAYOUT UTR889092600AG,UTR889092600AG,,9964.60,
2026-09-25,,,UTR889092600D1,,999.99,
