record_id,expected_result,expected_reference_pair,expected_exception_reason
pay_cL9qW2mN0,matched,INV-2026-0901;UTR88909260001,
INV-2026-0901,matched,pay_cL9qW2mN0;UTR88909260001,
UTR88909260001,matched,pay_cL9qW2mN0;INV-2026-0901,
pay_cL9qW2mN1,matched,INV-2026-0902;UTR88909260002,
INV-2026-0902,matched,pay_cL9qW2mN1;UTR88909260002,
UTR88909260002,matched,pay_cL9qW2mN1;INV-2026-0902,
pay_cL9qW2mN2,matched,INV-2026-0903;UTR88909260003,
INV-2026-0903,matched,pay_cL9qW2mN2;UTR88909260003,
UTR88909260003,matched,pay_cL9qW2mN2;INV-2026-0903,
pay_cL9qW2mN3,matched,INV-2026-0904;UTR88909260004,
INV-2026-0904,matched,pay_cL9qW2mN3;UTR88909260004,
UTR88909260004,matched,pay_cL9qW2mN3;INV-2026-0904,
pay_cL9qW2mN4,matched,INV-2026-0905;UTR88909260005,
INV-2026-0905,matched,pay_cL9qW2mN4;UTR88909260005,
UTR88909260005,matched,pay_cL9qW2mN4;INV-2026-0905,
pay_cL9qW2mN5,matched,INV-2026-0906;UTR88909260006,
INV-2026-0906,matched,pay_cL9qW2mN5;UTR88909260006,
UTR88909260006,matched,pay_cL9qW2mN5;INV-2026-0906,
pay_cL9qW2mN6,matched,INV-2026-0907;UTR88909260007,
INV-2026-0907,matched,pay_cL9qW2mN6;UTR88909260007,
UTR88909260007,matched,pay_cL9qW2mN6;INV-2026-0907,
pay_cL9qW2mN7,matched,INV-2026-0908;UTR88909260008,
INV-2026-0908,matched,pay_cL9qW2mN7;UTR88909260008,
UTR88909260008,matched,pay_cL9qW2mN7;INV-2026-0908,
pay_cL9qW2mN8,matched,INV-2026-0909;UTR88909260009,
INV-2026-0909,matched,pay_cL9qW2mN8;UTR88909260009,
UTR88909260009,matched,pay_cL9qW2mN8;INV-2026-0909,
pay_cL9qW2mN9,matched,INV-2026-0910;UTR88909260010,
INV-2026-0910,matched,pay_cL9qW2mN9;UTR88909260010,
UTR88909260010,matched,pay_cL9qW2mN9;INV-2026-0910,
pay_fzQ3r8T5a,matched,INV-2026-0911;UTR889092600F1X,
INV-2026-0911,matched,pay_fzQ3r8T5a;UTR889092600F1X,
UTR889092600F1X,matched,pay_fzQ3r8T5a;INV-2026-0911,
pay_fzQ3r8T5b,matched,INV-2026-0912;UTR889092600F2X,
INV-2026-0912,matched,pay_fzQ3r8T5b;UTR889092600F2X,
UTR889092600F2X,matched,pay_fzQ3r8T5b;INV-2026-0912,
pay_ag2P9c6X1,matched,pay_ag2P9c6X2;pay_ag2P9c6X3;UTR889092600AG,
pay_ag2P9c6X2,matched,pay_ag2P9c6X1;pay_ag2P9c6X3;UTR889092600AG,
pay_ag2P9c6X3,matched,pay_ag2P9c6X1;pay_ag2P9c6X2;UTR889092600AG,
UTR889092600AG,matched,pay_ag2P9c6X1;pay_ag2P9c6X2;pay_ag2P9c6X3,
pay_smK0lP2qR,matched,INV-2026-0913,
INV-2026-0913,matched,pay_smK0lP2qR,
CHG-SEP-FY2801,no_match,,,
CHG-SEP-FY2802,no_match,,,
CHG-SEP-FY2803,no_match,,,
pay_eo7Q2t9X1,deferred,,no_candidate
UTR889092600E1,deferred,,no_candidate
pay_eo7Q2t9X2,deferred,,no_candidate
UTR889092600E2,deferred,,no_candidate
pay_mx0K9p3Z1,deferred,,no_candidate
pay_plM4nR6qT,deferred,,below_threshold
INV-2026-0914,deferred,,below_threshold
pay_mA9c3F5x1,deferred,,materiality
INV-2026-0916,deferred,,materiality
pay_rf9X7a4B2-REFUND,deferred,,manual_investigation
UTR889092600R3,deferred,,manual_investigation
INV-2026-0915,deferred,,manual_investigation
UTR889092600D1,deferred,,data_quality
pay_dq1W3e5R7,deferred,,no_candidate
INV-2026-0917,deferred,,no_candidate
INV-2026-0918,deferred,,no_candidate
